City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Aswan,EG,2022-01-25 03:05:02,24.0934,32.907,48.18,47,7,10.4
154,Huarmey,PE,2022-01-25 03:05:03,-10.0681,-78.1522,72.54,82,99,7.87
155,Kharan,PK,2022-01-25 03:05:03,28.5833,65.4167,43.21,39,0,5.26
156,Poronaysk,RU,2022-01-25 03:05:04,49.2167,143.1167,11.05,76,3,2.73
157,Canutama,BR,2022-01-25 03:05:04,-6.5339,-64.3831,73.96,96,93,1.43
158,Port Hardy,CA,2022-01-25 03:00:24,50.6996,-127.4199,42.76,81,75,3.4
159,Belyy Yar,RU,2022-01-25 03:05:05,53.6039,91.3903,-14.91,76,40,0.0
160,Egvekinot,RU,2022-01-25 03:05:05,66.3167,-179.1667,-25.51,83,13,7.36
161,Faya,SA,2022-01-25 03:05:06,18.3851,42.4509,45.12,55,0,2.06
162,Baturaja,ID,2022-01-25 03:05:06,-4.1333,104.1667,83.75,71,87,3.74
163,Hithadhoo,MV,2022-01-25 03:05:07,-0.6,73.0833,81.43,70,86,14.23
164,Hirara,JP,2022-01-25 03:05:07,24.8,125.2833,68.47,73,96,16.26
165,Henties Bay,NA,2022-01-25 03:05:07,-22.116,14.2845,71.85,71,13,3.65
166,Tuatapere,NZ,2022-01-25 03:05:08,-46.1333,167.6833,61.83,69,100,9.69
167,Canon City,US,2022-01-25 03:03:36,38.441,-105.2424,38.32,49,100,5.75
168,Thompson,CA,2022-01-25 03:05:08,55.7435,-97.8558,-14.44,90,22,9.26
169,Fortuna,US,2022-01-25 03:05:09,40.5982,-124.1573,48.54,92,0,1.01
170,Dunbar,US,2022-01-25 03:05:02,38.3606,-81.7374,45.79,68,100,5.99
171,Georgetown,MY,2022-01-25 03:01:43,5.4112,100.3354,84.13,70,20,5.75
172,Port Macquarie,AU,2022-01-25 03:00:38,-31.4333,152.9167,76.89,63,100,6.46
173,Saint-Augustin,CA,2022-01-25 03:05:10,51.226,-58.6502,-7.4,100,80,5.97
174,Kodiak,US,2022-01-25 03:05:11,57.79,-152.4072,36.91,87,100,4.61
175,Banda Aceh,ID,2022-01-25 03:05:11,5.5577,95.3222,81.36,74,62,6.29
176,Kruisfontein,ZA,2022-01-25 03:05:11,-34.0033,24.7314,66.88,81,7,8.79
177,Ayan,RU,2022-01-25 03:05:12,56.45,138.1667,8.06,73,41,4.92
178,Blagoyevo,RU,2022-01-25 03:05:12,63.3667,47.9167,25.57,90,100,12.64
179,Kachug,RU,2022-01-25 03:05:13,53.9606,105.8817,-0.71,94,100,1.9
180,Manado,ID,2022-01-25 03:05:13,1.487,124.8455,88.57,66,20,9.22
181,Vardo,NO,2022-01-25 03:05:13,70.3705,31.1107,30.65,74,98,30.0
182,Lagoa,PT,2022-01-25 03:05:14,39.05,-27.9833,58.5,68,100,6.24
183,Bandar-E Lengeh,IR,2022-01-25 03:05:14,26.5579,54.8807,63.79,44,0,3.42
184,Fort Nelson,CA,2022-01-25 03:00:23,58.8053,-122.7002,16.74,98,99,2.98
185,Port Alfred,ZA,2022-01-25 03:05:15,-33.5906,26.891,68.94,87,6,14.12
186,Zhezkazgan,KZ,2022-01-25 03:05:15,47.8043,67.7144,3.18,85,75,8.95
187,Juneau,US,2022-01-25 03:06:16,58.3019,-134.4197,38.84,96,100,16.11
188,Pisco,PE,2022-01-25 03:06:16,-13.7,-76.2167,71.02,78,20,10.36
189,Port Blair,IN,2022-01-25 03:06:16,11.6667,92.75,80.64,74,20,6.91
190,Guadalupe Y Calvo,MX,2022-01-25 03:06:17,26.1,-106.9667,31.39,49,0,3.87
191,Buchanan,LR,2022-01-25 03:06:17,5.8808,-10.0467,75.29,88,73,2.71
192,Castro,BR,2022-01-25 03:06:18,-24.7911,-50.0119,63.82,91,79,5.75
193,Yulara,AU,2022-01-25 03:06:18,-25.2406,130.9889,94.73,22,5,7.34
194,Batemans Bay,AU,2022-01-25 03:06:18,-35.7167,150.1833,90.19,61,100,11.63
195,Clyde River,CA,2022-01-25 03:06:19,70.4692,-68.5914,-1.97,84,100,18.41
196,Jiexiu,CN,2022-01-25 03:06:19,37.0244,111.9125,37.98,36,86,6.8
197,Emerald,AU,2022-01-25 03:06:20,-23.5333,148.1667,77.45,67,100,9.1
198,Junin,AR,2022-01-25 03:06:20,-34.5838,-60.9433,75.54,76,100,6.46
199,Dingle,PH,2022-01-25 03:06:21,10.9995,122.6711,77.18,91,100,11.5
200,Souillac,MU,2022-01-25 03:06:21,-20.5167,57.5167,78.37,65,87,15.55
201,Argentan,FR,2022-01-25 03:06:22,48.75,-0.0167,31.77,83,0,2.8
202,Viedma,AR,2022-01-25 03:06:22,-40.8135,-62.9967,66.42,48,0,12.46
203,Sorong,ID,2022-01-25 03:06:22,-0.8833,131.25,85.1,71,100,10.58
204,Nishihara,JP,2022-01-25 03:06:23,26.1842,127.7558,69.85,66,75,6.91
205,Iqaluit,CA,2022-01-25 03:06:23,63.7506,-68.5145,-28.86,97,99,1.63
206,Chimbote,PE,2022-01-25 03:01:30,-9.0853,-78.5783,71.24,84,97,6.22
207,Cuajinicuilapa,MX,2022-01-25 03:06:24,16.4667,-98.4167,73.17,78,30,3.27
208,Nome,US,2022-01-25 03:06:24,64.5011,-165.4064,12.27,85,100,27.63
209,Saint-Michel-Des-Saints,CA,2022-01-25 03:06:24,46.6834,-73.9159,3.94,95,100,4.43
210,Altinopolis,BR,2022-01-25 03:06:25,-21.0256,-47.3739,69.15,91,75,3.65
211,Huanan,CN,2022-01-25 03:06:25,46.2167,130.5167,10.78,84,100,1.34
212,Tilichiki,RU,2022-01-25 03:06:26,60.4667,166.1,-16.22,91,19,6.73
213,Zhangjiakou,CN,2022-01-25 03:05:33,40.81,114.8794,20.43,60,9,7.74
214,Bodaybo,RU,2022-01-25 03:06:26,57.8506,114.1933,-13.88,97,100,1.07
215,Nhulunbuy,AU,2022-01-25 03:06:27,-12.2333,136.7667,79.41,94,75,11.5
216,Okhotsk,RU,2022-01-25 03:06:27,59.3833,143.3,-12.23,84,17,8.5
217,Lalmohan,BD,2022-01-25 03:06:28,22.3384,90.7419,68.94,71,39,6.82
218,Aklavik,CA,2022-01-25 03:06:28,68.2191,-135.0107,20.71,91,100,10.58
219,San Cristobal,VE,2022-01-25 03:06:28,7.7669,-72.225,71.78,77,48,0.63
220,Zaranj,AF,2022-01-25 03:06:29,30.9667,61.8833,42.1,39,0,2.71
221,Bandarbeyla,SO,2022-01-25 03:06:29,9.4942,50.8122,73.18,67,42,20.27
222,Yumen,CN,2022-01-25 03:06:30,40.2833,97.2,20.91,38,100,12.3
223,Sinnamary,GF,2022-01-25 03:06:30,5.3833,-52.95,75.94,87,73,7.94
224,Plettenberg Bay,ZA,2022-01-25 03:06:30,-34.0527,23.3716,69.39,80,85,4.43
225,Saint-Pierre,RE,2022-01-25 03:02:22,-21.3393,55.4781,74.88,69,75,12.66
226,Leningradskiy,RU,2022-01-25 03:02:59,69.3833,178.4167,-12.19,89,100,16.2
227,Fare,PF,2022-01-25 03:06:31,-16.7,-151.0167,81.36,74,100,10.49
228,Dayong,CN,2022-01-25 03:06:32,25.0209,118.2898,64.89,70,73,3.4
229,Arlit,NE,2022-01-25 03:06:32,18.7369,7.3853,54.64,23,6,7.85
230,Ixtapa,MX,2022-01-25 03:01:55,20.7,-105.2,69.22,95,57,1.01
231,Dakar,SN,2022-01-25 03:06:33,14.6937,-17.4441,81.48,40,100,19.66
232,Butaritari,KI,2022-01-25 03:07:33,3.0707,172.7902,81.16,80,87,17.18
233,Kaeo,NZ,2022-01-25 03:07:34,-35.1,173.7833,74.32,96,82,7.45
234,San Pedro,PH,2022-01-25 03:07:34,14.35,121.0167,87.35,63,100,10.78
235,Oistins,BB,2022-01-25 03:07:35,13.0667,-59.5333,75.29,73,20,17.27
236,Gizo,SB,2022-01-25 03:07:35,-8.103,156.8419,85.24,73,100,5.68
237,Lompoc,US,2022-01-25 03:07:36,34.6391,-120.4579,55.56,83,0,6.91
238,Praia Da Vitoria,PT,2022-01-25 03:07:36,38.7333,-27.0667,54.75,87,100,6.82
239,Duldurga,RU,2022-01-25 03:07:36,50.6761,113.5931,9.03,80,100,8.37
240,Anito,PH,2022-01-25 03:07:37,12.4497,125.2886,78.46,92,99,10.92
241,Anloga,GH,2022-01-25 03:07:37,5.7947,0.8973,79.29,79,1,5.57
242,Charcas,MX,2022-01-25 03:07:38,23.1333,-101.1167,54.55,65,97,14.61
243,Sisimiut,GL,2022-01-25 03:05:20,66.9395,-53.6735,21.04,79,100,28.25
244,Calvinia,ZA,2022-01-25 03:07:38,-31.4707,19.776,72.16,52,0,1.14
245,Batagay-Alyta,RU,2022-01-25 03:07:38,67.8006,130.4114,-11.22,95,100,3.51
246,Richards Bay,ZA,2022-01-25 03:07:39,-28.783,32.0377,70.0,86,0,8.88
247,Tuktoyaktuk,CA,2022-01-25 03:07:39,69.4541,-133.0374,24.33,88,100,12.77
248,Saint George,US,2022-01-25 03:06:04,37.1041,-113.5841,50.54,40,0,1.01
249,Broken Hill,AU,2022-01-25 03:07:40,-31.95,141.4333,85.87,42,58,7.0
250,Puerto Leguizamo,CO,2022-01-25 03:07:40,-0.1934,-74.7819,75.22,83,100,1.99
251,San Vicente,AR,2022-01-25 03:07:40,-26.6167,-54.1333,69.91,92,99,2.06
252,Upernavik,GL,2022-01-25 03:07:41,72.7868,-56.1549,-15.54,90,99,11.05
253,Jiayuguan,CN,2022-01-25 03:07:41,39.8167,98.3,20.77,48,100,3.94
254,Talaya,RU,2022-01-25 03:07:42,61.3833,152.75,-29.63,98,99,0.81
255,Rio Gallegos,AR,2022-01-25 03:07:42,-51.6226,-69.2181,50.05,53,0,14.97
256,Marquette,US,2022-01-25 03:07:43,46.5333,-87.6335,7.68,75,63,8.21
257,Pondicherry,IN,2022-01-25 03:07:43,11.93,79.83,77.09,75,100,4.59
258,Balabac,PH,2022-01-25 03:07:44,7.9868,117.0645,83.28,73,95,7.56
259,Guican,CO,2022-01-25 03:07:44,6.4618,-72.4113,48.09,93,95,1.28
260,Atar,MR,2022-01-25 03:07:45,20.5169,-13.0499,72.91,16,100,7.31
261,Plastun,RU,2022-01-25 03:07:45,44.7561,136.2939,22.62,49,13,1.74
262,Belmonte,BR,2022-01-25 03:07:45,-15.8631,-38.8828,75.7,87,90,1.34
263,Bathsheba,BB,2022-01-25 03:07:46,13.2167,-59.5167,75.81,73,20,17.27
264,Novobirilyussy,RU,2022-01-25 03:07:46,56.9514,90.6661,5.11,95,100,5.26
265,Palmer,US,2022-01-25 03:07:47,42.1584,-72.3287,29.84,73,100,4.61
266,Olafsvik,IS,2022-01-25 03:07:47,64.8945,-23.7142,40.35,93,100,31.9
267,Kahului,US,2022-01-25 03:02:55,20.8947,-156.47,76.96,87,2,5.01
268,Loukhi,RU,2022-01-25 03:07:48,66.0764,33.0381,27.1,92,100,9.53
269,Port Augusta,AU,2022-01-25 03:07:49,-32.5,137.7667,91.71,39,30,2.89
270,Baijiantan,CN,2022-01-25 03:07:50,45.6333,85.1833,10.78,87,100,5.35
271,Lebu,CL,2022-01-25 03:07:50,-37.6167,-73.65,58.08,84,0,16.91
272,Arroio Grande,BR,2022-01-25 03:07:51,-32.2375,-53.0869,75.04,97,100,4.47
273,Zyryanka,RU,2022-01-25 03:07:52,65.75,150.85,-28.35,98,97,6.62
274,Pithiviers,FR,2022-01-25 03:08:53,48.1667,2.25,32.02,85,0,3.58
275,Tautira,PF,2022-01-25 03:08:53,-17.7333,-149.15,84.22,79,98,10.63
276,Klaksvik,FO,2022-01-25 03:08:54,62.2266,-6.589,41.92,74,100,19.46
277,Vila Velha,BR,2022-01-25 03:08:26,-20.3297,-40.2925,75.94,89,20,5.75
278,Victoria,HK,2022-01-25 03:08:54,22.2855,114.1577,68.18,91,98,1.99
279,Kaitangata,NZ,2022-01-25 03:08:55,-46.2817,169.8464,63.93,66,100,6.29
280,Kununurra,AU,2022-01-25 03:08:55,-15.7667,128.7333,85.98,74,75,8.05
281,Nikolskoye,RU,2022-01-25 03:08:56,59.7035,30.7861,34.72,97,100,8.63
282,Dubbo,AU,2022-01-25 03:08:56,-32.25,148.6167,75.33,64,75,12.66
283,Key West,US,2022-01-25 03:04:44,24.5557,-81.7826,62.01,78,0,0.0
284,Marsa Matruh,EG,2022-01-25 03:08:58,31.3525,27.2453,49.32,73,22,18.12
285,Campbell River,CA,2022-01-25 03:08:26,50.0163,-125.2446,35.46,98,100,3.44
286,Mana,GF,2022-01-25 03:08:58,5.6592,-53.7767,76.95,82,69,8.48
287,Goderich,CA,2022-01-25 03:08:59,43.7501,-81.7165,25.92,87,100,13.18
288,Rocha,UY,2022-01-25 03:08:59,-34.4833,-54.3333,70.93,98,71,4.94
289,Weinan,CN,2022-01-25 03:08:59,34.5036,109.5089,42.03,62,100,4.03
290,Kalmunai,LK,2022-01-25 03:09:00,7.4167,81.8167,76.14,70,70,0.94
291,Svetlaya,RU,2022-01-25 03:09:00,46.5389,138.3297,20.46,56,5,0.83
292,Laguna,US,2022-01-25 03:09:01,38.421,-121.4238,55.24,78,0,0.0
293,Haines Junction,CA,2022-01-25 03:09:01,60.7522,-137.5108,22.96,97,92,5.03
294,Puteyets,RU,2022-01-25 03:09:01,65.1716,57.091,19.6,92,100,14.94
