City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Novyy Urgal,RU,51.0736,132.5642,-8.95,93,99,1.41,overcast clouds
122,Khatanga,RU,71.9667,102.5,1.62,88,100,14.29,overcast clouds
123,Fukue,JP,32.6881,128.8419,50.23,58,97,10.29,overcast clouds
124,Kloulklubed,PW,7.0419,134.2556,82.4,81,100,17.56,overcast clouds
125,Buriti Bravo,BR,-5.8372,-43.8336,71.33,95,100,1.19,overcast clouds
126,Aykhal,RU,66.0,111.5,-9.2,83,81,7.4,broken clouds
127,Mago,RU,53.2514,140.1822,-6.99,96,91,2.1,overcast clouds
128,Biak,ID,-0.9131,122.8766,82.56,71,99,0.4,overcast clouds
129,Aksu,CN,41.1231,80.2644,20.32,64,0,1.21,clear sky
130,Lagoa,PT,39.05,-27.9833,58.66,81,16,12.35,few clouds
131,Ahipara,NZ,-35.1667,173.1667,72.34,55,1,16.15,clear sky
132,Glace Bay,CA,46.1969,-59.957,22.96,79,92,3.0,overcast clouds
133,Avarua,CK,-21.2078,-159.775,82.45,83,75,13.8,broken clouds
134,Mwinilunga,ZM,-11.7358,24.4293,62.51,97,100,3.24,moderate rain
135,Deputatskiy,RU,69.3,139.9,-10.77,96,100,5.23,overcast clouds
136,Zvishavane,ZW,-20.3267,30.0665,65.8,97,100,8.93,light rain
137,Cabo San Lucas,MX,22.8909,-109.9124,70.52,65,7,1.01,clear sky
138,Tautira,PF,-17.7333,-149.15,86.02,77,43,15.21,light rain
139,Ibanda,TZ,-2.7974,32.4746,63.48,78,61,3.09,broken clouds
140,Porto Velho,BR,-8.7619,-63.9039,71.64,97,100,2.17,overcast clouds
141,Goderich,CA,43.7501,-81.7165,12.9,78,96,17.98,overcast clouds
142,Kaeo,NZ,-35.1,173.7833,79.32,57,0,1.19,clear sky
143,Torbay,CA,47.6666,-52.7314,30.88,96,100,4.0,overcast clouds
144,Kachug,RU,53.9606,105.8817,-14.55,99,55,0.56,broken clouds
145,Kruisfontein,ZA,-34.0033,24.7314,64.89,95,83,1.95,broken clouds
146,Kamaishi,JP,39.2667,141.8833,39.24,48,4,12.3,clear sky
147,Reconquista,AR,-29.15,-59.65,77.09,88,87,11.14,overcast clouds
148,Sao Filipe,CV,14.8961,-24.4956,74.62,70,100,14.61,overcast clouds
149,Port Hedland,AU,-20.3167,118.5667,89.65,62,40,9.22,scattered clouds
150,Saint-Joseph,RE,-21.3667,55.6167,70.18,67,38,6.22,scattered clouds
151,Coquimbo,CL,-29.9533,-71.3436,62.33,77,0,5.75,clear sky
152,Kapaa,US,22.0752,-159.319,78.78,70,20,1.01,few clouds
153,Pozo Colorado,PY,-23.4923,-58.7972,88.63,40,21,4.52,light rain
154,Geraldton,AU,-28.7667,114.6,81.01,47,0,19.57,clear sky
155,Sobolevo,RU,54.4299,31.8996,10.49,98,100,6.71,overcast clouds
156,Port Elizabeth,ZA,-33.918,25.5701,67.1,91,100,2.28,overcast clouds
157,Chokurdakh,RU,70.6333,147.9167,-27.53,96,35,12.53,scattered clouds
158,Saskylakh,RU,71.9167,114.0833,-12.86,94,54,4.54,broken clouds
159,Alyangula,AU,-13.8483,136.4192,86.88,65,100,9.98,overcast clouds
160,Vung Tau,VN,10.346,107.0843,78.6,76,13,6.51,few clouds
161,Urengoy,RU,65.9667,78.3667,-2.69,97,100,11.25,overcast clouds
162,Manbij,SY,36.5281,37.9549,34.57,97,100,6.71,overcast clouds
163,Paita,PE,-5.0892,-81.1144,71.85,79,90,12.55,overcast clouds
164,Fremont,US,37.5483,-121.9886,59.34,72,0,3.0,haze
165,Aripuana,BR,-9.1667,-60.6333,71.83,99,100,2.44,overcast clouds
166,Klyuchi,RU,52.2667,79.1667,-10.52,100,97,4.52,overcast clouds
167,Koumac,NC,-20.5667,164.2833,83.07,70,57,11.74,broken clouds
168,Angoche,MZ,-16.2325,39.9086,74.32,92,100,8.21,overcast clouds
169,Machali,CL,-34.1833,-70.6667,66.02,49,0,1.68,clear sky
170,Diamantino,BR,-14.4086,-56.4461,73.8,94,100,3.8,overcast clouds
171,Shingu,JP,33.7333,135.9833,50.11,48,100,1.97,overcast clouds
172,Uzhur,RU,55.3036,89.8339,-4.52,99,84,3.33,broken clouds
173,Canguaretama,BR,-6.38,-35.1289,77.77,83,68,7.58,broken clouds
174,Dubai,AE,25.2582,55.3047,68.22,55,0,5.75,clear sky
175,Cherdyn,RU,60.403,56.4787,0.86,98,100,2.91,overcast clouds
176,Beloha,MG,-25.1667,45.05,67.68,89,0,8.81,clear sky
177,Dikson,RU,73.5069,80.5464,12.13,93,100,27.92,light snow
178,Nelson Bay,AU,-32.7167,152.15,84.29,56,0,15.41,clear sky
179,Bardiyah,LY,31.7561,25.0865,50.25,69,100,11.88,overcast clouds
180,Broken Hill,AU,-31.95,141.4333,95.74,27,2,7.43,clear sky
181,Cockburn Town,TC,21.4612,-71.1419,77.68,73,1,13.42,clear sky
182,Killybegs,IE,54.6333,-8.45,49.44,84,96,15.59,overcast clouds
183,Buala,SB,-8.145,159.5921,82.67,74,100,5.53,light rain
184,Victoria,HK,22.2855,114.1577,69.39,86,59,4.0,broken clouds
185,Nuuk,GL,64.1835,-51.7216,20.01,49,100,6.91,overcast clouds
186,Kattivakkam,IN,13.2167,80.3167,78.08,82,94,2.75,overcast clouds
187,Bull Savanna,JM,17.8868,-77.5902,73.44,83,73,3.8,broken clouds
